,client_code,2018-12-31T00:00:00.000000000,2019-01-31T00:00:00.000000000,2019-02-28T00:00:00.000000000,2019-03-31T00:00:00.000000000,2019-04-30T00:00:00.000000000,2019-05-31T00:00:00.000000000,2019-06-30T00:00:00.000000000,2019-07-31T00:00:00.000000000,2019-08-31T00:00:00.000000000,2019-09-01T00:00:00.000000000,2019-10-01T00:00:00.000000000,2019-11-01T00:00:00.000000000,2019-12-01T00:00:00.000000000,2020-01-01T00:00:00.000000000
0,C108223,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
1,C103349,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,C120388,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,C113155,0,0,-1,0,0,0,0,0,0,-1,-1,-1,0,-1
4,C106155,-1,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1
5,C107185,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,C108495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,C144924,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
8,C107145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,C110854,0,0,0,0,0,0,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,0,0
10,C111527,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
11,C153602,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,C114669,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
13,C109451,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,C106417,0,-1,0,-1,0,-1,-1,-1,-1,-1,0,0,0,-1
15,C107649,0,0,0,0,-1,-1,0,0,0,0,-1,0,-1,0
16,C110560,0,0,-1,0,0,-1,-1,0,0,0,-1,0,0,0
17,C147950,,,,,,,,0,0,0,0,0,0,0
18,C120192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,C116956,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,C104139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,C110401,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,C105410,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,C109582,0,0,-1,0,0,0,-1,-1,-1,-1,0,0,0,0
24,C110585,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,C103176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,C145553,-1,-1,-1,-1,0,-1,-1,0,-1,-1,0,-1,0,0
27,C113864,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,C100764,0,INVESTMENT,INVESTMENT,INVESTMENT,INVESTMENT,INVESTMENT,INVESTMENT,0,0,-1,0,0,0,0
29,C110938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,C107906,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,C107180,-1,-1,0,0,-1,0,0,-1,-1,0,-1,0,0,-1
32,C113084,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,C116458,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,C105997,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0
35,C114608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,C105506,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,C110440,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,C111022,0,0,0,0,0,0,0,0,0,0,0,0,0,INVESTMENT
39,C108482,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,C150189,,,,,,,,,,,,0,0,0
41,C150022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0
42,C114071,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
43,C148248,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1
44,C147335,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,C144656,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0
46,C146501,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1
47,C112778,,,,,,,,INVESTMENT,INVESTMENT,INVESTMENT,INVESTMENT,INVESTMENT,0,0
48,C109648,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,C119828,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,C120466,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,C154108,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
52,C106302,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,C108436,-1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0
54,C115210,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,C109625,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0
56,C104024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,C144816,-1,-1,-1,-1,0,0,-1,0,0,0,-1,-1,0,-1
58,C120317,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1
59,C147193,,,,,,,0,0,0,0,0,0,0,0
60,C107353,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
61,C100853,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,C110581,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,C105853,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
64,C104263,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
65,C116863,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,C111645,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,0
67,C101690,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
68,C116825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,C113396,0,0,RETIREMENT,RETIREMENT,RETIREMENT,RETIREMENT,RETIREMENT,RETIREMENT,0,0,0,0,0,0
70,C103080,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,C150712,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
72,C117807,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0
73,C101425,-1,0,0,-1,-1,-1,0,0,0,0,0,0,0,0
74,C108358,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
75,C108647,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,C110521,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,C120672,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
78,C118275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,C144713,0,-1,-1,-1,0,0,-1,-1,-1,-1,0,-1,0,0
80,C108324,0,0,0,0,0,0,0,0,0,INVESTMENT,INVESTMENT,INVESTMENT,INVESTMENT,INVESTMENT
81,C102965,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
82,C147480,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1
83,C150867,,,,,,,,,,,,,0,0
84,C103915,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,C105499,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,C104331,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,C144196,,,,,0,0,0,0,-1,-1,-1,-1,-1,-1
88,C113734,INVESTMENT,INVESTMENT,INVESTMENT,INVESTMENT,INVESTMENT,INVESTMENT,0,0,0,0,0,0,0,0
89,C101460,0,0,0,0,0,0,0,0,0,HEALTH,HEALTH,HEALTH,-1,-1
90,C100642,0,0,0,0,0,0,0,0,0,0,INVESTMENT,INVESTMENT,INVESTMENT,INVESTMENT
91,C106372,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,C108896,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1
93,C146177,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0
94,C100714,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
95,C100927,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,-1
96,C111291,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,C115770,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
98,C148530,,,,,,,,,0,0,0,0,0,0
99,C103894,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,C112754,HEALTH,0,0,0,0,0,0,0,0,0,0,0,0,0
101,C112864,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,C116039,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103,C113457,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104,C148306,,,,,,,,0,0,0,0,0,0,0
105,C115813,-1,0,-1,0,0,-1,-1,0,0,0,0,0,0,0
106,C110561,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,C102089,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
108,C101233,-1,0,0,0,0,-1,0,-1,0,0,0,0,-1,-1
109,C111184,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
110,C117033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,C118318,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,C100024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,C100704,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0
114,C101071,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
115,C143926,,,,,0,0,0,0,0,0,0,0,0,0
116,C107494,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,C102110,0,0,0,-1,0,-1,-1,0,-1,0,-1,0,-1,0
118,C105412,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,C118883,INVESTMENT,INVESTMENT,INVESTMENT,INVESTMENT,INVESTMENT,INVESTMENT,0,0,0,0,0,0,0,0
120,C116685,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,C105435,0,0,0,-1,-1,-1,0,-1,0,0,-1,-1,-1,0
122,C110740,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,C144532,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1
124,C119576,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1
125,C148918,,,,,,,,,0,0,0,0,0,0
126,C103244,-1,-1,0,-1,0,-1,-1,-1,0,-1,0,0,-1,-1
127,C105408,-1,0,0,-1,0,-1,0,-1,0,-1,0,0,0,-1
128,C108147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,C117509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,C101291,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
131,C106657,-1,-1,-1,0,-1,0,-1,-1,-1,-1,0,-1,-1,0
132,C116609,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,C100157,,INVESTMENT,INVESTMENT,INVESTMENT,INVESTMENT,INVESTMENT,0,0,0,0,0,0,0,0
134,C109807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,C103209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,C148831,,,,,,,,,0,0,0,0,0,0
137,C112469,0,-1,RETIREMENT,RETIREMENT,RETIREMENT,-1,RETIREMENT,0,0,-1,-1,0,0,0
138,C151417,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
139,C119980,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,C119748,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,C112761,-1,0,-1,0,0,0,0,-1,0,0,0,-1,0,0
142,C154413,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
