,client_code,2018-12-31T00:00:00.000000000,2019-01-31T00:00:00.000000000,2019-02-28T00:00:00.000000000,2019-03-31T00:00:00.000000000,2019-04-30T00:00:00.000000000,2019-05-31T00:00:00.000000000,2019-06-30T00:00:00.000000000,2019-07-31T00:00:00.000000000,2019-08-31T00:00:00.000000000,2019-09-01T00:00:00.000000000,2019-10-01T00:00:00.000000000,2019-11-01T00:00:00.000000000,2019-12-01T00:00:00.000000000,2020-01-01T00:00:00.000000000
C108223,C108223,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
C103349,C103349,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C120388,C120388,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C113155,C113155,0,0,-1,0,0,0,0,0,0,-1,-1,-1,0,-1
C106155,C106155,-1,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1
C107185,C107185,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C108495,C108495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C144924,C144924,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
C107145,C107145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C110854,C110854,0,0,0,0,0,0,HEALTH0,HEALTH0,HEALTH0,HEALTH0,HEALTH0,HEALTH0,0,0
C111527,C111527,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
C153602,C153602,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
C114669,C114669,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
C109451,C109451,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C106417,C106417,0,-1,0,-1,0,-1,-1,-1,-1,-1,0,0,0,-1
C107649,C107649,0,0,0,0,-1,-1,0,0,0,0,-1,0,-1,0
C110560,C110560,0,0,-1,0,0,-1,-1,0,0,0,-1,0,0,0
C147950,C147950,,,,,,,,0,0,0,0,0,0,0
C120192,C120192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C116956,C116956,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C104139,C104139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C110401,C110401,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C105410,C105410,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C109582,C109582,0,0,-1,0,0,0,-1,-1,-1,-1,0,0,0,0
C110585,C110585,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C103176,C103176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C145553,C145553,-1,-1,-1,-1,0,-1,-1,0,-1,-1,0,-1,0,0
C113864,C113864,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C100764,C100764,0,INVESTMENT,INVESTMENT,INVESTMENT,INVESTMENT,INVESTMENT,INVESTMENT,0,0,-1,0,0,0,0
C110938,C110938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C107906,C107906,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
C107180,C107180,-1,-1,0,0,-1,0,0,-1,-1,0,-1,0,0,-1
C113084,C113084,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C116458,C116458,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
C105997,C105997,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0
C114608,C114608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C105506,C105506,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C110440,C110440,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C111022,C111022,0,0,0,0,0,0,0,0,0,0,0,0,0,INVESTMENT
C108482,C108482,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C150189,C150189,,,,,,,,,,,,0,0,0
C150022,C150022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0
